,prod_id,path,content_id,sub_path
1056,URE-032,X:\JAV\URE-032.mp4,ure00032,X:\JAV\URE-032.smi
1057,VGD-157,X:\JAV\VGD-157.mp4,,
1058,WANZ-057,X:\JAV\WANZ-057.wmv,3wanz00057,X:\JAV\WANZ-057.smi
1059,WANZ-124,X:\JAV\WANZ-124.avi,3wanz00124,
1060,WANZ-126,X:\JAV\WANZ-126.avi,3wanz00126,
1061,WANZ-212,X:\JAV\WANZ-212.mkv,3wanz00212,
1062,WANZ-214,X:\JAV\WANZ-214.wmv,3wanz00214,
1063,WANZ-258,X:\JAV\WANZ-258.mkv,3wanz00258,
1064,WANZ-269,X:\JAV\WANZ-269.mkv,wanz00269,
1065,WANZ-350,X:\JAV\WANZ-350.avi,wanz00350,
1066,WANZ-351,X:\JAV\WANZ-351.wmv,wanz00351,
1067,WANZ-366,X:\JAV\WANZ-366.avi,wanz00366,
1068,WANZ-426,X:\JAV\WANZ-426.mp4,wanz00426,
1069,WANZ-520,X:\JAV\WANZ-520.mp4,wanz00520,
1070,WANZ-568,X:\JAV\WANZ-568.avi,wanz00568,
1071,WANZ-601,X:\JAV\WANZ-601.mkv,wanz00601,
1072,WANZ-636,X:\JAV\WANZ-636.mp4,wanz00636,
